epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.5864550809669494,0.8390568663279215,70.599,50.0,0.002997041079278193
2,0.505372044878006,0.4978427171707153,78.575,80.2,0.0029881759946210596
3,0.47790588322639466,0.4653891402880351,80.924,82.3,0.0029734397324676686
4,0.4597122809505463,0.44582262802124023,82.402,83.11666666666666,0.002952890450112382
5,0.4475468194389343,0.4358933885892232,83.343,84.1,0.0029266092461845824
6,0.4373422429084778,0.4258810885747274,84.089,84.85,0.0028946998405894324
7,0.4281504009437561,0.41892708428700765,84.853,85.46666666666667,0.002857288165172796
8,0.42138319664001467,0.41397738552093505,85.296,85.73333333333333,0.0028145218667257727
9,0.4139912814617157,0.40977529525756834,85.863,86.33333333333333,0.002766569724290271
10,0.4078029034423828,0.40914074087142943,86.341,86.41666666666667,0.002713620983065233
11,0.40335268584251405,0.40606530507405597,86.675,86.58333333333333,0.002655884607542295
12,0.39704157850265503,0.4008968994617462,87.115,86.83333333333333,0.0025935884568184056
13,0.39185498167037963,0.39731931098302203,87.418,86.98333333333333,0.0025269783853400676
14,0.38708104571342467,0.3973556807835897,87.826,87.1,0.002456317272628159
15,0.3831224290657044,0.39429060610135397,88.084,87.43333333333334,0.0023818839858125627
16,0.37821599363327024,0.39278271436691287,88.547,87.38333333333334,0.002303972279071004
17,0.37294298672676085,0.3915980960528056,88.829,87.58333333333333,0.002222889634315521
18,0.3698031261444092,0.39222164877255755,89.068,87.6,0.0021389560477018256
19,0.36458469470977783,0.3910776448249817,89.375,87.63333333333334,0.002052502766750674
20,0.359944450006485,0.39229519589742023,89.829,87.41666666666667,0.001963870983065233
21,0.35515865818977355,0.39166824928919475,90.076,87.8,0.0018734104858036985
