epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.5900376326370239,0.8603930559158325,70.459,50.0,0.002997041079278193
2,0.5109434924507141,0.5041412118275961,78.394,79.11666666666666,0.0029881759946210596
3,0.47919473391532896,0.46204180049896243,80.984,82.48333333333333,0.0029734397324676686
4,0.4607176465034485,0.4468623993396759,82.314,83.25,0.002952890450112382
5,0.4464843366909027,0.43402893511454266,83.515,84.58333333333333,0.0029266092461845824
6,0.4352620161247253,0.42392367124557495,84.312,85.18333333333334,0.0028946998405894324
7,0.42525564023971557,0.41548677237828574,85.123,86.26666666666667,0.002857288165172796
8,0.4169308292579651,0.409364780664444,85.666,86.45,0.0028145218667257727
9,0.41160996603012084,0.40405960313479106,86.031,86.93333333333334,0.002766569724290271
10,0.40421983766555786,0.40084737054506936,86.67,87.01666666666667,0.002713620983065233
11,0.39785397550582885,0.3968642899195353,87.183,87.4,0.002655884607542295
12,0.3932337414550781,0.39240626923243205,87.341,87.53333333333333,0.0025935884568184056
13,0.3888487628364563,0.3922197222709656,87.718,87.95,0.0025269783853400676
14,0.3836905807209015,0.3897865125338236,88.024,87.63333333333334,0.002456317272628159
15,0.3787776315498352,0.38840540854136146,88.492,88.01666666666667,0.0023818839858125627
16,0.3750625452423096,0.3868929297924042,88.763,88.01666666666667,0.002303972279071004
17,0.37105317326545717,0.38668295431137084,89.088,87.98333333333333,0.002222889634315521
18,0.36589724403381346,0.3844138436317444,89.369,88.26666666666667,0.0021389560477018256
19,0.3627522805213928,0.38529414049784344,89.57,88.03333333333333,0.002052502766750674
20,0.35760258622169494,0.38432646878560384,89.992,88.21666666666667,0.001963870983065233
21,0.35321770190238955,0.3842730422019959,90.3,88.36666666666666,0.0018734104858036985
22,0.3495528809738159,0.3862462850411733,90.527,87.93333333333334,0.0017814782812212934
23,0.3463024594116211,0.3850041957696279,90.686,88.48333333333333,0.0016884371837296737
