epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.5832279867362976,0.7660637133916219,71.016,50.0,0.002997041079278193
2,0.5071029871368408,0.4950586862564087,78.571,79.18333333333334,0.0029881759946210596
3,0.4780465806865692,0.46353686332702637,80.972,82.16666666666667,0.0029734397324676686
4,0.46018366087913515,0.4484399483203888,82.332,83.01666666666667,0.002952890450112382
5,0.4463973756313324,0.43334141969680784,83.393,84.75,0.0029266092461845824
6,0.4367709851837158,0.4256176426410675,84.13,85.28333333333333,0.0028946998405894324
7,0.4281891490364075,0.4183179907004039,84.785,85.73333333333333,0.002857288165172796
8,0.41920369544029235,0.4115847834746043,85.534,86.4,0.0028145218667257727
9,0.4125242557621002,0.4036951200167338,85.943,86.65,0.002766569724290271
10,0.40610555844306945,0.4015459357102712,86.42,86.63333333333334,0.002713620983065233
11,0.40085550411224363,0.39880111026763915,86.861,87.15,0.002655884607542295
12,0.3963131900215149,0.3936456308364868,87.224,87.1,0.0025935884568184056
13,0.3911015288925171,0.3933306492169698,87.54,87.26666666666667,0.0025269783853400676
14,0.3871176321220398,0.3928232108751933,87.857,87.28333333333333,0.002456317272628159
15,0.38065427619934084,0.39010133004188535,88.267,87.23333333333333,0.0023818839858125627
16,0.37711570616722107,0.3886102963288625,88.414,87.68333333333334,0.002303972279071004
17,0.3721575789260864,0.3845813869635264,88.829,88.05,0.002222889634315521
18,0.3670768440055847,0.38292541551589965,89.257,88.1,0.0021389560477018256
19,0.36251626779556273,0.3840715301831563,89.578,87.86666666666666,0.002052502766750674
20,0.3574644638061523,0.3843126589457194,89.82,88.13333333333334,0.001963870983065233
