Model_ID,image_size,learning_rate,type,size_MB,dtype,total_params,trainable_params,total_params_and_buffers,peak_activation_kb,accuracy_%,latency_single_ms,latency_batch64_ms,precision_%,recall_%,f1_%,cm_tn,cm_fp,cm_fn,cm_tp
kan o 16-4 WM 1.0,112,0.003,original,3.624,float32,937688,937280,937688,6240.7,83.15,12.12,0.879,83.51,83.15,83.11,2649,351,660,2340
kan t 16-4 WM 1.0,112,0.003,tflite,1.25,int8,940201,0,6582827,392.0,82.33,3.09,2.996,82.94,82.33,82.25,2673,327,733,2267
kan o 16-4 WM 0.5,224,0.003,original,1.025,float32,262368,261960,262368,12490.2,87.37,11.11,0.474,87.51,87.37,87.35,2715,285,473,2527
kan h 16-4 WM 0.5,224,0.003,hybrid,0.417,int8+float32,262368,0,262368,12490.2,87.38,11.04,0.473,87.49,87.38,87.37,2701,299,458,2542
kan t 16-4 WM 0.5,224,0.003,tflite,0.496,int8,263191,0,3441271,196.0,86.48,1.76,1.72,86.51,86.48,86.48,2555,445,366,2634
kan o 16-4 WM 0.668,224,0.003,original,1.707,float32,439128,438720,439128,17629.2,87.58,11.1,0.656,87.67,87.58,87.58,2699,301,444,2556
kan h 16-4 WM 0.668,224,0.003,hybrid,0.599,int8+float32,439128,0,439128,17629.2,87.7,11.32,0.646,87.8,87.7,87.69,2710,290,448,2552
kan t 16-4 WM 0.668,224,0.003,tflite,0.701,int8,439015,0,4948751,392.0,87.47,2.42,2.337,87.47,87.47,87.47,2626,374,378,2622
kan o 16-4 WM 0.75,224,0.003,original,2.175,float32,560752,560344,560752,19580.4,88.32,11.98,0.725,88.49,88.32,88.3,2750,250,451,2549
kan h 16-4 WM 0.75,224,0.003,hybrid,0.719,int8+float32,560752,0,560752,19580.4,88.32,11.66,0.699,88.46,88.32,88.31,2742,258,443,2557
kan t 16-4 WM 0.75,224,0.003,tflite,0.837,int8,560967,0,5466727,392.0,86.67,2.64,2.548,86.7,86.67,86.66,2557,443,357,2643
kan o 16-4 WM 1.0,224,0.003,original,3.624,float32,937688,937280,937688,23901.7,88.92,13.05,0.852,89.06,88.92,88.91,2758,242,423,2577
kan h 16-4 WM 1.0,224,0.003,hybrid,1.098,int8+float32,937688,0,937688,23901.7,88.83,12.3,0.85,89.02,88.83,88.82,2768,232,438,2562
kan t 16-4 WM 1.0,224,0.003,tflite,1.174,int8,930745,0,6680477,392.0,86.2,1.34,1.307,86.69,86.2,86.15,2413,587,241,2759
kan o 16-4 WM 0.75,96,0.001,original,2.175,float32,560752,560344,560752,3620.4,82.62,12.0,0.738,83.8,82.62,82.46,2759,241,802,2198
kan h 16-4 WM 0.75,96,0.001,hybrid,0.719,int8+float32,560752,0,560752,3620.4,82.37,12.4,0.813,83.72,82.37,82.19,2772,228,830,2170
kan o 16-4 WM 1.0,96,0.001,original,3.624,float32,937688,937280,937688,4421.7,85.77,12.28,0.857,85.91,85.77,85.75,2667,333,521,2479
kan h 16-4 WM 1.0,96,0.001,hybrid,1.098,int8+float32,937688,0,937688,4421.7,85.7,12.65,0.866,85.83,85.7,85.69,2663,337,521,2479
kan o 16-4 WM 0.334,96,0.003,original,0.5,float32,126992,126584,126992,1648.0,81.22,10.48,0.402,83.0,81.22,80.96,2785,215,912,2088
kan t 16-4 WM 0.334,96,0.003,tflite,0.331,int8,129306,0,1720243,144.0,84.47,0.42,0.401,84.78,84.47,84.43,2676,324,608,2392
kan o 16-4 WM 0.5,96,0.003,original,1.025,float32,262368,261960,262368,2310.2,85.3,10.88,0.485,85.5,85.3,85.28,2672,328,554,2446
kan h 16-4 WM 0.5,96,0.003,hybrid,0.417,int8+float32,262368,0,262368,2310.2,75.65,10.95,0.48,78.6,75.65,75.01,2751,249,1212,1788
kan t 16-4 WM 0.5,96,0.003,tflite,0.419,int8,258457,0,2367841,144.0,81.6,0.5,0.473,83.01,81.6,81.4,2138,862,242,2758
