Model_ID,image_size,learning_rate,type,size_MB,dtype,total_params,trainable_params,total_params_and_buffers,peak_activation_kb,accuracy_%,latency_single_ms,latency_batch64_ms,precision_%,recall_%,f1_%,cm_tn,cm_fp,cm_fn,cm_tp
kan o 16-4 WM 1.0,96,0.003,original,3.624,float32,937688,937280,937688,4421.7,78.52,12.36,0.869,79.35,78.52,78.36,2608,392,897,2103
kan h 16-4 WM 1.0,96,0.003,hybrid,1.098,int8+float32,937688,0,937688,4421.7,78.42,12.73,0.857,79.48,78.42,78.22,2637,363,932,2068
kan t 16-4 WM 1.0,96,0.003,tflite,1.25,int8,936553,0,5102091,288.0,79.5,2.31,2.265,80.68,79.5,79.3,2679,321,909,2091
kan o 24-16 WM 0.25,224,0.003,original,0.359,float32,90888,89504,90888,7924.1,84.55,23.76,0.666,84.67,84.55,84.54,2625,375,552,2448
kan o 24-16 WM 0.334,224,0.003,original,0.529,float32,134344,132960,134344,8913.2,85.23,24.25,0.651,85.33,85.23,85.22,2634,366,520,2480
kan t 24-16 WM 0.334,224,0.003,tflite,0.367,int8,141485,0,2578719,196.0,84.22,1.38,1.347,84.26,84.22,84.21,2472,528,419,2581
kan o 24-16 WM 0.5,224,0.003,original,1.056,float32,270488,269104,270488,12490.5,86.82,24.78,0.748,86.98,86.82,86.8,2704,296,495,2505
kan t 24-16 WM 0.5,224,0.003,tflite,0.535,int8,278391,0,3471447,196.0,86.2,1.82,1.753,86.23,86.2,86.2,2543,457,371,2629
kan o 24-16 WM 0.75,224,0.003,original,2.21,float32,570024,568640,570024,19580.7,88.0,27.19,0.958,88.05,88.0,88.0,2695,305,415,2585
kan t 24-16 WM 0.75,224,0.003,tflite,0.877,int8,577373,0,5498055,392.0,87.6,2.69,2.657,87.6,87.6,87.6,2628,372,372,2628
kan o 24-16 WM 1.0,224,0.003,original,3.663,float32,948112,946728,948112,23901.9,88.58,26.62,1.109,88.66,88.58,88.58,2726,274,411,2589
kan h 24-16 WM 1.0,224,0.003,hybrid,1.138,int8+float32,948112,0,948112,23901.9,88.55,25.65,1.231,88.65,88.55,88.54,2732,268,419,2581
kan o 24-16 WM 0.25,224,0.003,original,0.359,float32,90888,89504,90888,7924.1,84.98,23.45,0.63,85.21,84.98,84.96,2669,331,570,2430
kan o 24-16 WM 0.5,96,0.001,original,1.056,float32,270488,269104,270488,2310.5,81.67,25.63,0.707,82.07,81.67,81.61,2619,381,719,2281
kan h 24-16 WM 0.5,96,0.001,hybrid,0.448,int8+float32,270488,0,270488,2310.5,81.4,25.26,0.713,82.06,81.4,81.3,2658,342,774,2226
kan t 24-16 WM 0.5,96,0.001,tflite,0.535,int8,276239,0,2443611,144.0,82.8,1.25,1.188,82.82,82.8,82.8,2520,480,552,2448
kan o 24-16 WM 0.668,96,0.001,original,1.741,float32,448016,446632,448016,3259.5,84.55,25.32,0.899,84.6,84.55,84.54,2481,519,408,2592
kan h 24-16 WM 0.668,96,0.001,hybrid,0.633,int8+float32,448016,0,448016,3259.5,84.65,26.22,1.002,84.7,84.65,84.64,2483,517,404,2596
kan t 24-16 WM 0.668,96,0.001,tflite,0.741,int8,452567,0,3600995,288.0,84.72,1.75,1.677,84.72,84.72,84.72,2552,448,469,2531
kan o 24-16 WM 0.75,96,0.001,original,2.21,float32,570024,568640,570024,3620.7,84.22,25.88,0.981,84.68,84.22,84.16,2700,300,647,2353
kan h 24-16 WM 0.75,96,0.001,hybrid,0.755,int8+float32,570024,0,570024,3620.7,84.03,25.43,0.976,84.39,84.03,83.99,2674,326,632,2368
kan t 24-16 WM 0.75,96,0.001,tflite,0.877,int8,577089,0,4015187,288.0,84.52,1.9,1.989,84.72,84.52,84.49,2649,351,578,2422
kan o 24-16 WM 1.0,96,0.001,original,3.663,float32,948112,946728,948112,4421.9,84.45,26.05,1.1,84.66,84.45,84.43,2649,351,582,2418
kan h 24-16 WM 1.0,96,0.001,hybrid,1.138,int8+float32,948112,0,948112,4421.9,84.5,25.91,1.087,84.76,84.5,84.47,2665,335,595,2405
kan t 24-16 WM 1.0,96,0.001,tflite,1.292,int8,950690,0,5134571,288.0,84.73,2.32,2.22,84.77,84.73,84.73,2589,411,505,2495
kan o 32-16 WM 0.5,224,0.003,original,1.073,float32,274960,273224,274960,12490.6,86.93,30.44,0.78,87.03,86.93,86.92,2685,315,469,2531
kan t 32-16 WM 0.5,224,0.003,tflite,0.552,int8,282236,0,3484631,196.0,84.27,1.81,1.756,84.49,84.27,84.24,2406,594,350,2650
kan o 32-16 WM 0.668,224,0.003,original,1.761,float32,453256,451520,453256,17629.6,87.53,30.21,0.944,87.66,87.53,87.52,2714,286,462,2538
kan t 32-16 WM 0.668,224,0.003,tflite,0.759,int8,462860,0,4993647,392.0,87.1,2.48,2.414,87.11,87.1,87.1,2632,368,406,2594
kan o 32-16 WM 0.75,224,0.003,original,2.232,float32,575648,573912,575648,19580.9,87.58,31.3,1.033,87.72,87.58,87.57,2718,282,463,2537
kan h 32-16 WM 0.75,224,0.003,hybrid,0.777,int8+float32,575648,0,575648,19580.9,87.55,31.55,1.025,87.66,87.55,87.54,2708,292,455,2545
kan t 32-16 WM 0.75,224,0.003,tflite,0.896,int8,583978,0,5512391,392.0,86.83,2.74,2.602,86.85,86.83,86.83,2570,430,360,2640
kan o 32-16 WM 1.0,224,0.003,original,3.689,float32,954888,953152,954888,23902.1,88.47,31.15,1.146,88.58,88.47,88.46,2734,266,426,2574
kan h 32-16 WM 1.0,224,0.003,hybrid,1.164,int8+float32,954888,0,954888,23902.1,88.57,31.19,1.144,88.67,88.57,88.56,2735,265,421,2579
kan t 32-16 WM 1.0,224,0.003,tflite,1.311,int8,959401,0,6896919,392.0,87.95,3.27,3.099,87.98,87.95,87.95,2597,403,320,2680
kan o 32-16 WM 1.0,96,0.0005,original,3.689,float32,954888,953152,954888,4422.1,79.43,31.04,1.154,79.43,79.43,79.43,2373,627,607,2393
kan o 32-16 WM 0.75,96,0.001,original,2.232,float32,575648,573912,575648,3620.9,84.6,30.5,1.056,85.13,84.6,84.54,2723,277,647,2353
kan h 32-16 WM 0.75,96,0.001,hybrid,0.777,int8+float32,575648,0,575648,3620.9,84.55,30.99,1.016,85.08,84.55,84.49,2721,279,648,2352
kan t 32-16 WM 0.75,96,0.001,tflite,0.896,int8,581687,0,4029523,288.0,84.93,1.92,1.878,85.03,84.93,84.92,2626,374,530,2470
kan o 32-16 WM 1.0,96,0.001,original,3.689,float32,954888,953152,954888,4422.1,86.23,31.24,1.141,86.56,86.23,86.2,2728,272,554,2446
kan h 32-16 WM 1.0,96,0.001,hybrid,1.164,int8+float32,954888,0,954888,4422.1,85.97,30.53,1.148,86.31,85.97,85.93,2724,276,566,2434
kan t 32-16 WM 1.0,96,0.001,tflite,1.311,int8,959326,0,5150059,288.0,85.75,2.33,2.238,85.75,85.75,85.75,2587,413,442,2558
kan o 32-16 WM 0.5,96,0.003,original,1.073,float32,274960,273224,274960,2310.6,77.58,29.48,0.779,78.29,77.58,77.44,2565,435,910,2090
kan h 32-16 WM 0.5,96,0.003,hybrid,0.466,int8+float32,274960,0,274960,2310.6,77.42,29.74,0.834,78.43,77.42,77.21,2606,394,961,2039
kan o 32-16 WM 1.0,96,0.003,original,3.689,float32,954888,953152,954888,4422.1,79.45,30.71,1.159,79.46,79.45,79.45,2413,587,646,2354
kan o 32-24-16 WM 0.25,224,0.003,original,0.413,float32,104832,101432,104832,7924.4,84.9,53.53,1.129,85.0,84.9,84.89,2629,371,535,2465
kan t 32-24-16 WM 0.25,224,0.003,tflite,0.395,int8,119459,0,2318277,196.0,84.28,1.29,1.277,84.33,84.28,84.28,2476,524,419,2581
kan o 32-24-16 WM 0.334,224,0.003,original,0.583,float32,148672,145272,148672,8913.5,84.62,54.19,1.129,84.77,84.62,84.6,2638,362,561,2439
kan t 32-24-16 WM 0.334,224,0.003,tflite,0.453,int8,175771,0,2631197,196.0,84.08,1.45,1.412,84.14,84.08,84.08,2584,416,539,2461
kan o 32-24-16 WM 0.5,224,0.003,original,1.113,float32,285584,282184,285584,12490.7,86.77,54.84,1.195,86.93,86.77,86.75,2703,297,497,2503
kan t 32-24-16 WM 0.5,224,0.003,tflite,0.622,int8,300572,0,3524693,196.0,86.32,1.85,1.805,86.32,86.32,86.32,2574,426,395,2605
kan o 32-24-16 WM 0.75,224,0.003,original,2.272,float32,586272,582872,586272,19581.0,87.85,56.24,1.452,88.04,87.85,87.83,2742,258,471,2529
kan t 32-24-16 WM 0.75,224,0.003,tflite,0.965,int8,597697,0,5552453,392.0,87.65,2.8,2.769,87.65,87.65,87.65,2628,372,369,2631
kan o 32-24-16 WM 1.0,224,0.003,original,3.73,float32,965512,962112,965512,23902.2,88.67,56.9,1.557,88.85,88.67,88.65,2764,236,444,2556
kan h 32-24-16 WM 1.0,224,0.003,hybrid,1.208,int8+float32,965512,0,965512,23902.2,88.72,56.93,1.603,88.9,88.72,88.7,2764,236,441,2559
kan t 32-24-16 WM 1.0,224,0.003,tflite,1.38,int8,977964,0,6936981,392.0,87.77,3.33,3.274,87.79,87.77,87.76,2593,407,327,2673
kan o 32-24-16 WM 0.5,96,0.001,original,1.113,float32,285584,282184,285584,2310.7,82.12,54.73,1.219,82.7,82.12,82.04,2664,336,737,2263
kan o 32-24-16 WM 0.75,96,0.001,original,2.272,float32,586272,582872,586272,3621.0,84.03,56.08,1.435,84.89,84.03,83.93,2756,244,714,2286
kan h 32-24-16 WM 0.75,96,0.001,hybrid,0.821,int8+float32,586272,0,586272,3621.0,83.87,56.36,1.504,84.69,83.87,83.77,2747,253,715,2285
kan t 32-24-16 WM 0.75,96,0.001,tflite,0.965,int8,597810,0,4069585,288.0,85.25,2.01,1.929,85.33,85.25,85.24,2631,369,516,2484
kan o 32-24-16 WM 1.0,96,0.001,original,3.73,float32,965512,962112,965512,4422.2,85.47,56.77,1.633,85.59,85.47,85.45,2652,348,524,2476
kan h 32-24-16 WM 1.0,96,0.001,hybrid,1.208,int8+float32,965512,0,965512,4422.2,85.22,57.2,1.593,85.31,85.22,85.21,2632,368,519,2481
kan t 32-24-16 WM 1.0,96,0.001,tflite,1.38,int8,974658,0,5190121,288.0,84.85,2.38,2.332,84.9,84.85,84.84,2488,512,397,2603
kan o 48-32-24-16 WM 0.5,224,0.003,original,1.228,float32,315520,308344,315520,12491.2,87.05,112.48,2.206,87.11,87.05,87.04,2671,329,448,2552
kan o 48-32-24-16 WM 0.75,224,0.003,original,2.395,float32,618512,611336,618512,19581.5,87.85,114.7,2.476,87.95,87.85,87.84,2714,286,443,2557
kan o 48-32-24-16 WM 0.5,224,0.002,original,1.228,float32,315520,308344,315520,12491.2,75.62,112.32,2.208,76.54,75.62,75.4,2549,451,1012,1988
kan o 64-32-24-16 WM 0.75,224,0.003,original,2.454,float32,633856,625464,633856,19581.8,87.6,133.83,2.761,87.67,87.6,87.59,2692,308,436,2564
kan h 64-32-24-16 WM 0.75,224,0.003,hybrid,1.008,int8+float32,633856,0,633856,19581.8,87.35,133.99,2.706,87.42,87.35,87.34,2686,314,445,2555
kan t 64-32-24-16 WM 0.75,224,0.003,tflite,1.133,int8,661888,0,5682995,392.0,85.95,3.01,2.892,85.99,85.95,85.95,2526,474,369,2631
kan o 64-32-24-16 WM 1.0,224,0.003,original,3.929,float32,1017704,1009312,1017704,23903.1,88.77,133.97,2.865,88.86,88.77,88.76,2736,264,410,2590
kan h 64-32-24-16 WM 1.0,224,0.003,hybrid,1.412,int8+float32,1017704,0,1017704,23903.1,88.6,134.09,2.915,88.67,88.6,88.59,2724,276,408,2592
kan t 64-32-24-16 WM 1.0,224,0.003,tflite,1.553,int8,1042751,0,7072131,392.0,87.65,3.51,3.429,87.7,87.65,87.65,2574,426,315,2685
kan o 64-32-24-16 WM 1.0,96,0.001,original,3.929,float32,1017704,1009312,1017704,4423.1,84.28,134.69,2.927,84.54,84.28,84.25,2658,342,601,2399
kan h 64-32-24-16 WM 1.0,96,0.001,hybrid,1.412,int8+float32,1017704,0,1017704,4423.1,84.33,134.49,2.841,84.57,84.33,84.31,2655,345,595,2405
kan t 64-32-24-16 WM 1.0,96,0.001,tflite,1.552,int8,1056525,0,5325271,288.0,85.52,2.55,2.498,85.63,85.52,85.5,2651,349,520,2480
kan o 64-32-24-16 WM 1.0,96,0.003,original,3.929,float32,1017704,1009312,1017704,4423.1,77.53,135.01,3.057,78.19,77.53,77.4,2097,903,445,2555
kan o 8-2 WM 1.0,224,0.003,original,3.602,float32,932096,931920,932096,23901.5,88.3,10.04,0.854,88.42,88.3,88.29,2732,268,434,2566
kan o 8-4 WM 1.0,224,0.003,original,3.604,float32,932448,932200,932448,23901.5,88.8,10.95,0.851,88.92,88.8,88.79,2749,251,421,2579
kan o 8-8 WM 1.0,224,0.003,original,3.606,float32,933152,932760,933152,23901.5,88.63,12.33,0.855,88.81,88.63,88.62,2759,241,441,2559
