Model_ID,image_size,learning_rate,type,size_MB,dtype,total_params,trainable_params,total_params_and_buffers,peak_activation_kb,accuracy_%,latency_single_ms,latency_batch64_ms,precision_%,recall_%,f1_%,cm_tn,cm_fp,cm_fn,cm_tp
kan o 32-24-16 WM 0.5,96,0.001,original,1.113,float32,285584.0,282184.0,285584.0,2310.7,82.12,50.82,1.237,82.7,82.12,82.04,2664.0,336.0,737.0,2263.0
kan o 32-24-16 WM 0.75,96,0.001,original,2.272,float32,586272.0,582872.0,586272.0,3621.0,84.03,52.28,1.373,84.89,84.03,83.93,2756.0,244.0,714.0,2286.0
kan h 32-24-16 WM 0.75,96,0.001,hybrid,0.821,int8+float32,586272.0,0.0,586272.0,3621.0,83.87,52.24,1.447,84.69,83.87,83.77,2747.0,253.0,715.0,2285.0
kan t 32-24-16 WM 0.75,96,0.001,tflite,0.965,int8,597810.0,0.0,4069585.0,288.0,85.25,2.01,1.945,85.33,85.25,85.24,2631.0,369.0,516.0,2484.0
kan o 32-24-16 WM 1.0,96,0.001,original,3.73,float32,965512.0,962112.0,965512.0,4422.2,85.47,51.75,1.479,85.59,85.47,85.45,2652.0,348.0,524.0,2476.0
kan h 32-24-16 WM 1.0,96,0.001,hybrid,1.208,int8+float32,965512.0,0.0,965512.0,4422.2,85.22,52.55,1.554,85.31,85.22,85.21,2632.0,368.0,519.0,2481.0
kan t 32-24-16 WM 1.0,96,0.001,tflite,1.38,int8,974658.0,0.0,5190121.0,288.0,84.85,4.41,5.197,84.9,84.85,84.84,2488.0,512.0,397.0,2603.0
kan o 48-32-24-16 WM 0.5,224,0.003,original,1.228,float32,315520.0,308344.0,315520.0,12491.2,87.05,320.29,5.424,87.11,87.05,87.04,2671.0,329.0,448.0,2552.0
kan o 48-32-24-16 WM 0.75,224,0.003,original,2.395,float32,618512.0,611336.0,618512.0,19581.5,87.85,323.78,5.337,87.95,87.85,87.84,2714.0,286.0,443.0,2557.0
kan o 48-32-24-16 WM 0.5,224,0.002,original,1.228,float32,315520.0,308344.0,315520.0,12491.2,75.62,101.92,2.062,76.54,75.62,75.4,2549.0,451.0,1012.0,1988.0
kan o 64-32-24-16 WM 0.75,224,0.003,original,2.454,float32,633856.0,625464.0,633856.0,19581.8,87.6,121.77,2.558,87.67,87.6,87.59,2692.0,308.0,436.0,2564.0
kan h 64-32-24-16 WM 0.75,224,0.003,hybrid,1.008,int8+float32,633856.0,0.0,633856.0,19581.8,87.35,121.75,3.087,87.42,87.35,87.34,2686.0,314.0,445.0,2555.0
kan t 64-32-24-16 WM 0.75,224,0.003,tflite,1.133,int8,661888.0,0.0,5682995.0,392.0,85.95,3.11,2.985,85.99,85.95,85.95,2526.0,474.0,369.0,2631.0
kan o 64-32-24-16 WM 1.0,224,0.003,original,3.929,float32,1017704.0,1009312.0,1017704.0,23903.1,88.77,124.98,2.815,88.86,88.77,88.76,2736.0,264.0,410.0,2590.0
kan h 64-32-24-16 WM 1.0,224,0.003,hybrid,1.412,int8+float32,1017704.0,0.0,1017704.0,23903.1,88.6,123.78,2.745,88.67,88.6,88.59,2724.0,276.0,408.0,2592.0
kan t 64-32-24-16 WM 1.0,224,0.003,tflite,1.553,int8,1042751.0,0.0,7072131.0,392.0,87.65,3.61,3.509,87.7,87.65,87.65,2574.0,426.0,315.0,2685.0
kan o 64-32-24-16 WM 1.0,96,0.001,original,3.929,float32,1017704.0,1009312.0,1017704.0,4423.1,84.28,122.94,2.658,84.54,84.28,84.25,2658.0,342.0,601.0,2399.0
